Account,sentiment_bucket,days,trades,gross_pnl,win_rate,avg_trade_size_usd
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,Fear,16,2594,13945.728288,0.9846756508205999,1288.2549868020653
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,Greed,31,7612,82890.125331,0.986597494190487,1354.058583549902
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,Neutral,17,5399,9467.021637,0.9389230493935461,1111.028348378855
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,Fear,15,49,-17680.962221,0.2222222222222222,2638.7213694444445
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,Greed,20,364,90581.077847,1.0,1718.7925632843242
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,Neutral,2,4,-53.631353999999995,0.0,157.265
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,Fear,9,203,8751.751449,1.0,3442.788135511013
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,Greed,6,360,59093.868082,1.0,2234.5079512365032
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,Fear,11,472,14542.702934,0.8023255813953488,14911.716746172933
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,Greed,5,10,58.44524,1.0,2236.6646666666666
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,Neutral,4,52,7157.6835790000005,1.0,50793.71887681159
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Fear,63,3744,102710.067491,0.9361790878754171,2493.1631786556463
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Greed,150,7532,1639363.095505,0.765727303906721,5614.36689354994
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Neutral,43,3457,401309.434693,0.763548971482001,3526.111737071473
0xb899e522b5715391ae1d4f137653e7906c5e2115,Fear,29,4524,18470.551893,0.881425896709213,27697.451291023608
0xb899e522b5715391ae1d4f137653e7906c5e2115,Neutral,6,314,4017.948928,0.7446808510638299,19233.675691356675
0xbaaaf6571ab7d571043ff1e313a9609a10637864,Fear,22,16917,882790.353636,0.9909507504460706,4492.456585073758
0xbaaaf6571ab7d571043ff1e313a9609a10637864,Greed,2,5,4.672458,0.5,48.32375
0xbaaaf6571ab7d571043ff1e313a9609a10637864,Neutral,4,4270,57368.780126,1.0,6965.8766059899
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,Fear,32,1568,274510.251146,0.5823291454308404,16610.65713820913
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,Greed,26,660,36311.364425,0.5,2564.525389970336
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,Neutral,9,413,-90302.553718,0.47824675324675325,11780.428371249503
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,Fear,54,17980,86752.889088,0.8029781849489318,1497.840269006758
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,Greed,51,14061,722210.981325,0.8141330431896512,2066.8111126260433
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,Neutral,26,8143,27116.682664,0.7949222965913764,1705.3787483195335
